paper_id,qp_code,exam_year,q_no,part,section,question,marks,question_type,choice_status,choice_pair_id,chapter,sub_code,skill_observed,cross_chapter,category,category_source,in_syllabus_current,notes,concept_family,discipline,sitting_source
2023-086-31/2/1,31/2/1,2023,1,-,A,Which of the following is an example of endothermic process ? (a) Formation of slaked lime (b) Decomposition of vegetable matter into compost (c) Dissolution of ammonium chloride in water (d) Digestion of food in our body,1,MCQ,compulsory,-,Chemical Reactions and Equations,X.SCI,Classified four everyday processes as endothermic or exothermic,no,R&U,"inferred (Claude), two-pass resolved",yes,"TWO-PASS: pass 1 said Applying, pass 2 said R&U. Resolved to R&U - the student recognises a known endothermic example rather than executing a procedure.",Combination and decomposition reactions,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,2,-,A,"In the given experimental set-up, if the experiment is carried out separately with each of the following solutions the cases in which the bulb will glow is/are : (i) Dilute hydrochloric acid (ii) Dilute sulphuric acid (iii) Glucose solution (iv) Alcohol. Options : (a) (i) only (b) (ii) only (c) (i) and (ii) (d) (ii), (iii) and (iv)",1,MCQ,compulsory,-,"Acids, Bases and Salts",X.SCI,Linked electrical conduction of a solution to the presence of free ions,no,Applying,"inferred (Claude), two-pass agreed",yes,Question carries a figure (bulb-and-electrodes conductivity set-up).,"Ionisation, strength and the pH scale",chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,3,-,A,"In order to balance the following chemical equation, the values of the coefficients x and y respectively are : x Pb(NO3)2 --Heat--> 2 PbO + y NO2 + O2. (a) 2, 4 (b) 2, 2 (c) 2, 3 (d) 4, 2",1,MCQ,compulsory,-,Chemical Reactions and Equations,X.SCI,Solved for two stoichiometric coefficients by atom balance,no,Applying,"inferred (Claude), two-pass agreed",yes,-,Writing and balancing chemical equations,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,4,-,A,"When zinc reacts with sodium hydroxide, the product formed is : (a) Sodium oxide (b) Sodium zincate (c) Zinc hydroxide (d) Zinc oxide",1,MCQ,compulsory,-,"Acids, Bases and Salts",X.SCI,Recalled the product of a metal reacting with a base,Metals and Non-metals,R&U,"inferred (Claude), two-pass agreed",yes,"Chapter judgment call: the reaction is taught in Acids, Bases and Salts (2.1.2), but a student may have met it under Metals and Non-metals. Cross-chapter recorded.","Reactions of acids and bases with metals, carbonates and hydrogencarbonates",chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,5,-,A,"Among the following, the metal with lowest density is : (a) Lithium (b) Lead (c) Magnesium (d) Aluminium",1,MCQ,compulsory,-,Metals and Non-metals,X.SCI,Recalled comparative densities of named metals,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Physical properties of metals and non-metals,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,6,-,A,"The number of electrons in the outermost shell of the atom of a non-metal can be : (a) 1, 2 or 3 (b) 3, 4 or 5 (c) 5, 6 or 7 (d) 5, 6 or 8",1,MCQ,compulsory,-,Metals and Non-metals,X.SCI,Recalled the valence-shell electron count characteristic of non-metals,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Ionic bonding and properties of ionic compounds,chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,7,-,A,The total number of electrons shared in the formation of an ethyne molecule is : (a) 6 (b) 3 (c) 10 (d) 4,1,MCQ,compulsory,-,Carbon and its Compounds,X.SCI,Built the structure of an unsaturated hydrocarbon and counted shared electrons,no,Applying,"inferred (Claude), two-pass agreed",yes,-,"Saturated and unsaturated carbon compounds, chains, branches and rings",chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,8,-,A,Sphincter muscles are present at the exit of : (a) Stomach and small intestine (b) Stomach and anus (c) Small intestine and large intestine (d) Oesophagus and stomach,1,MCQ,compulsory,-,Life Processes,X.SCI,Recalled the location of sphincters in the alimentary canal,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Human digestive system,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,9,-,A,"In the following diagram, identify the cells through which massive amounts of gaseous exchange takes place for photosynthesis : (a) I (b) IV (c) III (d) II",1,MCQ,compulsory,-,Life Processes,X.SCI,Read a labelled leaf-section diagram and identified guard cells by function,no,Applying,"inferred (Claude), two-pass agreed",yes,"Question carries a figure (labelled transverse section of a leaf, labels I-IV).",Photosynthesis and autotrophic nutrition,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,10,-,A,"During vigorous exercise, the occurrence of cramps in the outer muscles of an athlete is due to the conversion of pyruvate to : (a) Glucose (b) Ethanol (c) Lactic acid (d) Lactose",1,MCQ,compulsory,-,Life Processes,X.SCI,Recalled the end product of anaerobic respiration in muscle,no,R&U,"inferred (Claude), two-pass agreed",yes,-,"Respiration: aerobic, anaerobic and the human respiratory system",biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,11,-,A,Plants which bear unisexual flowers are : (a) Mustard and Papaya (b) Hibiscus and Watermelon (c) Mustard and Hibiscus (d) Watermelon and Papaya,1,MCQ,compulsory,-,How do Organisms Reproduce?,X.SCI,Recalled named examples of plants bearing unisexual flowers,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Sexual reproduction in flowering plants,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,12,-,A,"When an 'X' bearing sperm fertilises the egg, the resulting zygote has the following combination of chromosomes : (a) 44 + XX (b) 44 + XY (c) 22 + XX (d) 22 + XY",1,MCQ,compulsory,-,Heredity,X.SCI,Worked out the zygote chromosome complement from the gamete contributed,no,Applying,"inferred (Claude), two-pass agreed",yes,-,Sex determination in human beings,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,13,-,A,"An object is placed in front of a convex mirror at infinity. According to the New Cartesian Sign Convention, the sign of the focal length and the sign of the image distance in this case are respectively : (a) +, - (b) -, + (c) -, - (d) +, +",1,MCQ,compulsory,-,Light – Reflection and Refraction,X.SCI,Applied the New Cartesian sign convention to a convex mirror,no,Applying,"inferred (Claude), two-pass agreed",yes,-,"Mirror formula, magnification and sign convention",physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,14,-,A,"For verifying Ohm's law, we design an electric circuit diagram in which we show the arrangement of different circuit components. We find that with respect to the resistor, the : (a) ammeter is connected in parallel and the voltmeter in series. (b) ammeter is connected in series and the voltmeter in parallel. (c) ammeter and voltmeter are both connected in series. (d) ammeter and voltmeter are both connected in parallel.",1,MCQ,compulsory,-,Electricity,X.SCI,Recalled how an ammeter and a voltmeter are placed relative to a resistor,no,R&U,"inferred (Claude), two-pass agreed",yes,-,Ohm's law and circuit diagrams,physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,15,-,A,"In a resistive circuit if the current is increased to two times, the percentage change in the amount of heat dissipated in the circuit would be : (a) 400% (b) 300% (c) 200% (d) 100%",1,MCQ,compulsory,-,Electricity,X.SCI,Used the square dependence of Joule heating on current to find a percentage change,no,Applying,"inferred (Claude), two-pass agreed",yes,-,Heating effect of electric current and its applications,physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,16,-,A,A positron enters a uniform magnetic field at right angles to it as shown. The direction of force experienced by the positron will be : (a) to the right (b) to the left (c) into the page (d) out of the page,1,MCQ,compulsory,-,Magnetic Effects of Electric Current,X.SCI,Applied Fleming's left-hand rule to a moving positive charge,no,Applying,"inferred (Claude), two-pass agreed",uncertain,"Question carries a figure (positron entering a magnetic field). SYLLABUS FLAG: the chapter treats force on a current-carrying conductor, not on an isolated moving charge; applying the rule to a positron is an extension of the printed content. in_syllabus_current set to 'uncertain': force on an isolated moving charge is not printed content in Ch 12, which treats current-carrying conductors.",Force on a current-carrying conductor and Fleming's left-hand rule,physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,17,-,A,"For Questions number 17 to 20, two statements are given - one labelled as Assertion (A) and the other labelled as Reason (R). Select the correct answer from the codes : (a) Both A and R are true and R is the correct explanation of A. (b) Both A and R are true, but R is not the correct explanation of A. (c) A is true, but R is false. (d) A is false, but R is true. Assertion (A) : Sodium oxide is an amphoteric oxide. Reason (R) : Metal oxides which react with both acids as well as bases are known as amphoteric oxides.",1,Assertion-Reason,compulsory,-,Metals and Non-metals,X.SCI,Judged an assertion about oxide character against a correct definition,no,R&U,"inferred (Claude), two-pass agreed",yes,"Assertion is FALSE - sodium oxide is basic, not amphoteric (aluminium and zinc oxides are the amphoteric examples). Reason is TRUE as a definition. Key: (d).","Reactions of metals with air, water and acids",chemistry,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,18,-,A,"For Questions number 17 to 20, two statements are given - one labelled as Assertion (A) and the other labelled as Reason (R). Select the correct answer from the codes : (a) Both A and R are true and R is the correct explanation of A. (b) Both A and R are true, but R is not the correct explanation of A. (c) A is true, but R is false. (d) A is false, but R is true. Assertion (A) : When a bacterium divides into two, and the resultant two bacteria divide again, the four bacteria produced would be almost similar. Reason (R) : DNA copying involves small inaccuracies in the reproduction process.",1,Assertion-Reason,compulsory,-,How do Organisms Reproduce?,X.SCI,Related small DNA-copying errors to the degree of similarity among asexual offspring,no,R&U,"inferred (Claude), two-pass agreed",yes,"Both statements true and R explains A. Key: (a). Family judgment call: sits between 'Asexual reproduction' and 'Variation'; assigned to Variation because the concept tested is DNA-copying inaccuracy, not the mode of fission.",Variation and the significance of sexual reproduction,biology,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,19,-,A,"For Questions number 17 to 20, two statements are given - one labelled as Assertion (A) and the other labelled as Reason (R). Select the correct answer from the codes : (a) Both A and R are true and R is the correct explanation of A. (b) Both A and R are true, but R is not the correct explanation of A. (c) A is true, but R is false. (d) A is false, but R is true. Assertion (A) : A person suffering from myopia cannot see the distant objects clearly. Reason (R) : A converging lens is used for the correction of myopic eye as it can form real as well as virtual images of the objects placed in front of it.",1,Assertion-Reason,compulsory,-,The Human Eye and the Colourful World,X.SCI,Judged the corrective lens for myopia against a true statement of the defect,no,R&U,"inferred (Claude), two-pass agreed",yes,"Assertion is TRUE. Reason is FALSE - myopia is corrected with a concave (diverging) lens, not a converging one. Key: (c).",Defects of vision and their correction,physics,inferred_series_footprint
2023-086-31/2/1,31/2/1,2023,20,-,A,"For Questions number 17 to 20, two statements are given - one labelled as Assertion (A) and the other labelled as Reason (R). Select the correct answer from the codes : (a) Both A and R are true and R is the correct explanation of A. (b) Both A and R are true, but R is not the correct explanation of A. (c) A is true, but R is false. (d) A is false, but R is true. Assertion (A) : Magnetic field lines do not intersect each other. Reason (R) : Magnetic field lines are imaginary lines, the tangent to which at any point gives the direction of the field at that point.",1,Assertion-Reason,compulsory,-,Magnetic Effects of Electric Current,X.SCI,Judged the non-intersection property of field lines against their tangent definition,no,R&U,"inferred (Claude), two-pass agreed",yes,"AMBIGUITY FLAGGED: both statements are true, but whether R is the correct explanation of A is arguable. The tangent definition implies a unique direction at each point, which is the standard reason lines cannot intersect, supporting (a); a marker treating R as a bare definition rather than the argument would accept (b). Not resolved here.",Magnetic field and magnetic field lines,physics,inferred_series_footprint
